"","ID","Gender","Gender_Code","Age","Shool_Year","School_Year_Code","Transfer","Transfer_Code","Student_Athlete","Student_Athlete_Code","Wealth_SR","GPA","ACT","Subjective_Well_Being","Positive_Affect","Negative_Affect","Relationship_Confidence","Exercise","Academic_Motivation_Intrinsic","Academic_Motivation_Extrinsic","Academic_Motivation_Amotivation","Intelligence_Value","Raven_Score"
"1",21466926,"Female","1",52,"Post-bac","5","No",FALSE,"non-athlete",FALSE,4,3.9,NA,6.5,3.8,1.5,3.86,67,6.17,6.83,1,3,0.875
"2",21466578,"Male","2",27,"Post-bac","5","Yes",TRUE,"non-athlete",FALSE,4,4,23,5.25,3.4,2.7,4.57,1,2.5,6.33,1,3.33,0.875
"3",21421645,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3.9,30,5.5,3.5,1.7,4.71,126,1.5,5.17,1.5,3,0.75
"4",21450687,"Male","2",19,"Sophomore","2","No",FALSE,"In season",TRUE,2,2.5,24,6.25,4.8,2.1,4.57,100,7,7,1,3.67,0.75
"5",21466410,"Female","1",24,"Post-bac","5","No",FALSE,"non-athlete",FALSE,1,3.5,29,3.75,4,2.3,3.29,79,6,4.67,1,2.33,0.75
"6",21496229,"Male","2",22,"Senior","4","No",FALSE,"non-athlete",FALSE,3,3.3,27,4.25,3.2,1.5,4.29,76,3.67,5.17,3,2.67,0.75
"7",21466341,"Male","2",20,"Junior","3","No",FALSE,"non-athlete",FALSE,4,3.5,31,2,4.6,2.9,2.29,49,5,7,7,3.67,0.75
"8",21473012,"Female","1",31,"Post-bac","5","No",FALSE,"non-athlete",FALSE,4,3.9,NA,4.25,3.1,3.2,4.14,29,5.83,6.33,1.5,3,0.75
"9",21463897,"Female","1",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,2.9,18,6,2.9,2.6,1.86,20,4.5,7,5.5,4,0.75
"10",21481343,"Male","2",21,"Junior","3","No",FALSE,"non-athlete",FALSE,2,3.4,19,5.75,3,1.7,2.57,18,7,6,1,3.67,0.75
"11",21416834,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,4,3.9,30,3.5,2.8,2.4,2,17,1.67,3.67,2,3.33,0.75
"12",21418517,"Male","2",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3,26,5.25,3.9,1.6,4,6,6.17,5.17,1,4,0.75
"13",21426968,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,3,1.8,23,6.5,3.3,1.3,3,5,5,4.17,1,3.67,0.75
"14",21478908,"Female","1",22,"Senior","4","Yes",TRUE,"non-athlete",FALSE,3,3.4,NA,5.25,3.4,2.2,3.29,3.5,5.17,5.83,2.5,3.67,0.75
"15",21466657,"Female","1",52,"Post-bac","5","Yes",TRUE,"non-athlete",FALSE,4,3.6,NA,4.75,4.1,1.3,3.86,3,3.5,6.17,1,3.33,0.75
"16",21468106,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,5,3.9,31,6.5,3.2,1.9,3.43,3,4.67,6.83,2,3.67,0.75
"17",21468139,"Female","1",22,"Senior","4","No",FALSE,"non-athlete",FALSE,2,3.3,21,3.25,3.3,2.8,4.57,0,5.5,6.5,3,3.67,0.75
"18",21412291,"Female","1",19,"First-year","1","Yes",TRUE,"In season",TRUE,4,NA,24,5.75,3.7,1.5,4,112,3.83,5.83,2,4,0.714285714285714
"19",21467182,"Female","1",20,"Junior","3","No",FALSE,"Out of season",TRUE,3,3.4,27,6.5,3.9,1.4,4.86,157,4,5.17,1.5,3,0.625
"20",21405085,"Male","2",20,"Sophomore","2","Yes",TRUE,"non-athlete",FALSE,3,3.4,22,6.75,4.7,1.5,5,125,2.83,5.83,1,3,0.625
